1	Vosim 99S			Jo Scherpenisse	99S	Vosim		Thuis	Sound synthesizer	Jos Jansen	Ongetest		TMS9900	16bits							?	LU			Hardware_Vosim_99S_picture.jpg
121	Holborn 9100			Holborn	9100	Holborn 9100		Depot	Computer	Museum			Z80		HOS							DND	9 augustus 2014		
122	Kennedy 9100			Kennedy	9100	Kennedy 9100		Depot	Storage	Museum	Defect								UUCP:..!pdp11			J. van Praag	23 maart 2010		
123	Holborn 9120			Holborn	9120	Holborn 9120	100002	Depot	Computer	Museum	OK		Z80		HOS							DND	9 augustus 2014		Hardware_Holborn_9120_picture.jpg
124			42001065	HP	9121D		2229A20047	Depot	2x 3.5” floppy drive													DND	9 augustus 2014		
125	HP 9145			HP	9145	HP 9145		Depot	Storage	Museum												LU	13 juni 2013		
126			42001064	HP	9153A		2515A02620	Depot	3.5” floppy drive													LU	18 september 2014		
127	OCE CPT 8600			CPT	931190	OCE CPT 8600		Depot	Tekstverwerker	Museum	OK										MacSimski	Bjornl			
128			42001062	IBM	9331 011		10-87576	Depot													MacSimski	?			
129	HP 95LX			HP	95LX	HP 95LX	ABB3145A04886	Depot	Handheld	Museum	OK										MacSimski				
130	Control Data 9762			Control Data	9762	Control Data 9762		Depot	Storage	Museum	Needs service										MacSimski	?			
131	HP 9000-216			HP	9816S	HP 216	2350G12064	Depot	Computer	Museum	Defect														
132	HP 9000/340 (1)			HP	98571	HP 9000/340	2845G04089	Depot	Workstation	Museum	OK		68k												
133	HP 9000/340 (2)			HP	98571	HP 9000/340	2845G04090	Depot	Workstation	Museum	OK		68k												
134	HP 9000/340 (3)		42001054	HP	98571G	HP 9000/340CH	2845G07177	Depot	Workstation	Museum	Shows POST on display, seems to want to boot		68k		HP-UX 300										
135	Amiga 2000 (3)			Commodore	A2000	Commodore Amiga 2000	JA4024177	Awesome Retro	Homecomputer	Awesome Retro	OK		68k												
136	Apple Graphics Tablet			Apple	A2M2007	Graphics Tablet	105945	Depot	Input Device	Hack42	?														
137	Apple //e Monitor			Apple	A2M2010P	Apple //e Monitor	0105097	Depot	Monitor	Museum	OK										MacSimski	MacSimski			
138	Olivetti A5			Olivetti	A5	A5		Depot	Boekhoudmachine	Museum	Defect														
139	Apple Lisa 2/10 (1)			Apple	A6S0200P	Lisa 2/10		Thuis	Desktop computer	MacSimski	OK		68k												
140	Apple Lisa 2/10 (2)			Apple	A6S0200P	Lisa 2/10	A4282380	Verkocht	Desktop computer	Verkocht	OK		68k		?										
141	Apple Lisa 2/10 (3)			Apple	A6S0200P	Lisa 2/10	A3343040	Verkocht	Desktop computer	Verkocht	OK		68k		?						MacSimski				
142	Apple ProFile			Apple	A9M0100Z	Apple ProFile	DE003696	Depot	Storage	Museum											MacSimski				
